OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LOGRECNO
1,42,101,009400,42101009400,94,Census Tract 94,G5020,S,366717,0,+39.9632709,-075.2322437,10429
2,42,101,009500,42101009500,95,Census Tract 95,G5020,S,319070,0,+39.9658709,-075.2379140,10430
3,42,101,009600,42101009600,96,Census Tract 96,G5020,S,405273,0,+39.9655396,-075.2435075,10431
4,42,101,013800,42101013800,138,Census Tract 138,G5020,S,341256,0,+39.9764504,-075.1771771,10468
5,42,101,013900,42101013900,139,Census Tract 139,G5020,S,562934,0,+39.9750563,-075.1711846,10469
6,42,101,014000,42101014000,140,Census Tract 140,G5020,S,439802,0,+39.9735358,-075.1630966,10470
7,42,101,014100,42101014100,141,Census Tract 141,G5020,S,562132,0,+39.9708771,-075.1524555,10471
8,42,101,014200,42101014200,142,Census Tract 142,G5020,S,789935,277434,+39.9652375,-075.1359612,10472
9,42,101,014300,42101014300,143,Census Tract 143,G5020,S,570015,282808,+39.9671225,-075.1265617,10473
10,42,101,014400,42101014400,144,Census Tract 144,G5020,S,609439,0,+39.9722286,-075.1400952,10474
11,42,101,014500,42101014500,145,Census Tract 145,G5020,S,321464,0,+39.9760715,-075.1484189,10475
12,42,101,014600,42101014600,146,Census Tract 146,G5020,S,445048,0,+39.9764305,-075.1546990,10476
13,42,101,014700,42101014700,147,Census Tract 147,G5020,S,337677,0,+39.9785489,-075.1620244,10477
14,42,101,014800,42101014800,148,Census Tract 148,G5020,S,191126,0,+39.9802047,-075.1691610,10478
15,42,101,014900,42101014900,149,Census Tract 149,G5020,S,453221,0,+39.9816503,-075.1804029,10479
16,42,101,015200,42101015200,152,Census Tract 152,G5020,S,669101,0,+39.9854546,-075.1700491,10482
17,42,101,015300,42101015300,153,Census Tract 153,G5020,S,469136,0,+39.9837644,-075.1608849,10483
18,42,101,015600,42101015600,156,Census Tract 156,G5020,S,429567,0,+39.9790066,-075.1418910,10484
19,42,101,019000,42101019000,190,Census Tract 190,G5020,S,778606,12639,+40.0095015,-075.0986136,10517
20,42,101,019100,42101019100,191,Census Tract 191,G5020,S,1439101,20770,+40.0095510,-075.1071820,10518
21,42,101,019200,42101019200,192,Census Tract 192,G5020,S,656913,0,+40.0006393,-075.1150648,10519
22,42,101,019700,42101019700,197,Census Tract 197,G5020,S,450587,0,+40.0162799,-075.1379372,10522
23,42,101,019800,42101019800,198,Census Tract 198,G5020,S,541006,0,+40.0107245,-075.1421472,10523
24,42,101,019900,42101019900,199,Census Tract 199,G5020,S,661884,0,+40.0048515,-075.1435463,10524
25,42,101,020000,42101020000,200,Census Tract 200,G5020,S,316676,0,+40.0025289,-075.1508995,10525
26,42,101,020200,42101020200,202,Census Tract 202,G5020,S,756814,0,+40.0081282,-075.1621609,10528
27,42,101,020300,42101020300,203,Census Tract 203,G5020,S,508176,0,+40.0125820,-075.1495922,10529
28,42,101,020400,42101020400,204,Census Tract 204,G5020,S,407372,0,+40.0198216,-075.1525117,10530
29,42,101,020500,42101020500,205,Census Tract 205,G5020,S,1429510,0,+40.0158738,-075.1643607,10531
30,42,101,020600,42101020600,206,Census Tract 206,G5020,S,1295848,56842,+40.0198000,-075.1827740,10532
31,42,101,001300,42101001300,13,Census Tract 13,G5020,S,727889,60713,+39.9445258,-075.1862050,10354
32,42,101,001400,42101001400,14,Census Tract 14,G5020,S,315832,0,+39.9429436,-075.1715930,10355
33,42,101,001500,42101001500,15,Census Tract 15,G5020,S,239383,0,+39.9419037,-075.1591158,10356
34,42,101,001600,42101001600,16,Census Tract 16,G5020,S,196392,0,+39.9402546,-075.1483127,10357
35,42,101,001700,42101001700,17,Census Tract 17,G5020,S,221530,0,+39.9377593,-075.1483114,10358
36,42,101,001800,42101001800,18,Census Tract 18,G5020,S,242483,0,+39.9399998,-075.1593091,10359
37,42,101,001900,42101001900,19,Census Tract 19,G5020,S,328327,0,+39.9400454,-075.1722270,10360
38,42,101,002000,42101002000,20,Census Tract 20,G5020,S,289368,0,+39.9381416,-075.1843145,10361
39,42,101,002100,42101002100,21,Census Tract 21,G5020,S,237519,0,+39.9372214,-075.1768955,10362
40,42,101,002200,42101002200,22,Census Tract 22,G5020,S,228696,0,+39.9364111,-075.1703923,10363
41,42,101,002300,42101002300,23,Census Tract 23,G5020,S,212379,0,+39.9348217,-075.1629799,10364
42,42,101,002400,42101002400,24,Census Tract 24,G5020,S,535421,0,+39.9367634,-075.1595100,10365
43,42,101,002500,42101002500,25,Census Tract 25,G5020,S,398697,0,+39.9342960,-075.1498023,10366
44,42,101,002900,42101002900,29,Census Tract 29,G5020,S,370217,0,+39.9306984,-075.1655729,10371
45,42,101,003100,42101003100,31,Census Tract 31,G5020,S,395908,0,+39.9323428,-075.1779572,10374
46,42,101,005000,42101005000,50,Census Tract 50,G5020,S,4504459,3340294,+39.8898768,-075.1691412,10389
47,42,101,005400,42101005400,54,Census Tract 54,G5020,S,1846253,530013,+39.8904539,-075.2513923,10390
48,42,101,005500,42101005500,55,Census Tract 55,G5020,S,1168442,12010,+39.9074191,-075.2489174,10391
49,42,101,005600,42101005600,56,Census Tract 56,G5020,S,840411,0,+39.8988328,-075.2447347,10392
50,42,101,006000,42101006000,60,Census Tract 60,G5020,S,1089657,0,+39.9115196,-075.2381570,10393
51,42,101,006100,42101006100,61,Census Tract 61,G5020,S,534201,0,+39.9150013,-075.2288094,10394
52,42,101,006200,42101006200,62,Census Tract 62,G5020,S,509636,0,+39.9194134,-075.2335257,10395
53,42,101,006300,42101006300,63,Census Tract 63,G5020,S,555602,0,+39.9210843,-075.2399762,10396
54,42,101,010000,42101010000,100,Census Tract 100,G5020,S,497695,0,+39.9710834,-075.2503759,10434
55,42,101,010100,42101010100,101,Census Tract 101,G5020,S,601437,0,+39.9721396,-075.2425290,10435
56,42,101,010200,42101010200,102,Census Tract 102,G5020,S,360618,0,+39.9680830,-075.2316701,10436
57,42,101,010300,42101010300,103,Census Tract 103,G5020,S,281357,0,+39.9678322,-075.2254383,10437
58,42,101,010400,42101010400,104,Census Tract 104,G5020,S,472051,0,+39.9654995,-075.2191193,10438
59,42,101,010500,42101010500,105,Census Tract 105,G5020,S,657766,0,+39.9665652,-075.2142018,10439
60,42,101,010600,42101010600,106,Census Tract 106,G5020,S,265466,0,+39.9646327,-075.2079213,10440
61,42,101,010700,42101010700,107,Census Tract 107,G5020,S,460475,0,+39.9687475,-075.2069442,10441
62,42,101,010800,42101010800,108,Census Tract 108,G5020,S,585732,0,+39.9660217,-075.1989890,10442
63,42,101,010900,42101010900,109,Census Tract 109,G5020,S,248168,0,+39.9649286,-075.1917650,10443
64,42,101,011000,42101011000,110,Census Tract 110,G5020,S,472868,0,+39.9737291,-075.2062951,10444
65,42,101,011100,42101011100,111,Census Tract 111,G5020,S,1301411,0,+39.9752003,-075.2215745,10445
66,42,101,011200,42101011200,112,Census Tract 112,G5020,S,503162,0,+39.9736041,-075.2336533,10446
67,42,101,011300,42101011300,113,Census Tract 113,G5020,S,334899,0,+39.9786554,-075.2353346,10447
68,42,101,011400,42101011400,114,Census Tract 114,G5020,S,972947,0,+39.9807388,-075.2440178,10448
69,42,101,015700,42101015700,157,Census Tract 157,G5020,S,485211,0,+39.9780463,-075.1355242,10485
70,42,101,015800,42101015800,158,Census Tract 158,G5020,S,580218,0,+39.9735773,-075.1294327,10486
71,42,101,016000,42101016000,160,Census Tract 160,G5020,S,720839,0,+39.9793809,-075.1231903,10487
72,42,101,016100,42101016100,161,Census Tract 161,G5020,S,707586,0,+39.9844571,-075.1275250,10488
73,42,101,016200,42101016200,162,Census Tract 162,G5020,S,364983,0,+39.9840197,-075.1384217,10489
74,42,101,016300,42101016300,163,Census Tract 163,G5020,S,572226,0,+39.9885061,-075.1339156,10490
75,42,101,016400,42101016400,164,Census Tract 164,G5020,S,485026,0,+39.9896437,-075.1431665,10491
76,42,101,016500,42101016500,165,Census Tract 165,G5020,S,394713,0,+39.9890550,-075.1491723,10492
77,42,101,016600,42101016600,166,Census Tract 166,G5020,S,261133,0,+39.9890491,-075.1536062,10493
78,42,101,016800,42101016800,168,Census Tract 168,G5020,S,581301,0,+39.9917820,-075.1676540,10496
79,42,101,003901,42101003901,39.01,Census Tract 39.01,G5020,S,420397,0,+39.9238262,-075.1732854,10381
80,42,101,016902,42101016902,169.02,Census Tract 169.02,G5020,S,563700,0,+39.9939857,-075.1831934,10498
81,42,101,016901,42101016901,169.01,Census Tract 169.01,G5020,S,512907,0,+39.9930523,-075.1758394,10497
82,42,101,020700,42101020700,207,Census Tract 207,G5020,S,1428274,99543,+40.0126929,-075.1944867,10533
83,42,101,020800,42101020800,208,Census Tract 208,G5020,S,880647,0,+40.0213151,-075.1936140,10534
84,42,101,020900,42101020900,209,Census Tract 209,G5020,S,509953,35428,+40.0186576,-075.2089795,10535
85,42,101,021000,42101021000,210,Census Tract 210,G5020,S,858223,55719,+40.0244730,-075.2151045,10536
86,42,101,021100,42101021100,211,Census Tract 211,G5020,S,540313,0,+40.0264564,-075.2065293,10537
87,42,101,021200,42101021200,212,Census Tract 212,G5020,S,515705,0,+40.0348390,-075.2125337,10538
88,42,101,021300,42101021300,213,Census Tract 213,G5020,S,538876,0,+40.0322339,-075.2181175,10539
89,42,101,021400,42101021400,214,Census Tract 214,G5020,S,607138,56535,+40.0279290,-075.2240827,10540
90,42,101,021500,42101021500,215,Census Tract 215,G5020,S,1003279,40236,+40.0350417,-075.2288249,10541
91,42,101,021600,42101021600,216,Census Tract 216,G5020,S,1991850,111706,+40.0436758,-075.2403985,10542
92,42,101,024100,42101024100,241,Census Tract 241,G5020,S,407855,0,+40.0332734,-075.1759175,10554
93,42,101,024200,42101024200,242,Census Tract 242,G5020,S,532060,0,+40.0285110,-075.1697086,10555
94,42,101,024300,42101024300,243,Census Tract 243,G5020,S,679035,0,+40.0215855,-075.1710376,10556
95,42,101,024400,42101024400,244,Census Tract 244,G5020,S,421189,0,+40.0248284,-075.1638925,10557
96,42,101,024500,42101024500,245,Census Tract 245,G5020,S,801001,0,+40.0333286,-075.1620463,10558
97,42,101,024600,42101024600,246,Census Tract 246,G5020,S,621264,0,+40.0409623,-075.1729016,10559
98,42,101,024700,42101024700,247,Census Tract 247,G5020,S,941266,0,+40.0417034,-075.1645311,10560
99,42,101,024800,42101024800,248,Census Tract 248,G5020,S,319263,0,+40.0468442,-075.1668818,10561
100,42,101,024900,42101024900,249,Census Tract 249,G5020,S,325198,0,+40.0511009,-075.1601167,10562
101,42,101,025200,42101025200,252,Census Tract 252,G5020,S,952423,0,+40.0468352,-075.1771588,10563
102,42,101,025300,42101025300,253,Census Tract 253,G5020,S,581298,0,+40.0542198,-075.1822200,10564
103,42,101,025400,42101025400,254,Census Tract 254,G5020,S,769760,0,+40.0604202,-075.1760718,10565
104,42,101,025500,42101025500,255,Census Tract 255,G5020,S,766603,0,+40.0625796,-075.1840640,10566
105,42,101,025600,42101025600,256,Census Tract 256,G5020,S,863997,1979,+40.0683411,-075.1883025,10567
106,42,101,028300,42101028300,283,Census Tract 283,G5020,S,673067,0,+40.0260505,-075.1438525,10597
107,42,101,028400,42101028400,284,Census Tract 284,G5020,S,492451,0,+40.0251577,-075.1381287,10598
108,42,101,028500,42101028500,285,Census Tract 285,G5020,S,267006,0,+40.0287154,-075.1337359,10599
109,42,101,028600,42101028600,286,Census Tract 286,G5020,S,717845,0,+40.0285757,-075.1276448,10600
110,42,101,028700,42101028700,287,Census Tract 287,G5020,S,340972,0,+40.0218194,-075.1314402,10601
111,42,101,028800,42101028800,288,Census Tract 288,G5020,S,442001,0,+40.0222841,-075.1240562,10602
112,42,101,029000,42101029000,290,Census Tract 290,G5020,S,818133,20001,+40.0296096,-075.1166058,10605
113,42,101,029100,42101029100,291,Census Tract 291,G5020,S,1327550,0,+40.0361323,-075.1074594,10606
114,42,101,029200,42101029200,292,Census Tract 292,G5020,S,1732847,28953,+40.0249561,-075.1021580,10607
115,42,101,029300,42101029300,293,Census Tract 293,G5020,S,685641,0,+40.0137540,-075.0917655,10608
116,42,101,029400,42101029400,294,Census Tract 294,G5020,S,647647,0,+40.0094789,-075.0854721,10609
117,42,101,029800,42101029800,298,Census Tract 298,G5020,S,649155,0,+40.0159529,-075.0678013,10610
118,42,101,033300,42101033300,333,Census Tract 333,G5020,S,1011566,0,+40.0550147,-075.0440558,10644
119,42,101,033400,42101033400,334,Census Tract 334,G5020,S,1218434,0,+40.0535052,-075.0529610,10645
120,42,101,033500,42101033500,335,Census Tract 335,G5020,S,942793,0,+40.0546014,-075.0648677,10646
121,42,101,033600,42101033600,336,Census Tract 336,G5020,S,1153639,0,+40.0614785,-075.0592350,10647
122,42,101,033800,42101033800,338,Census Tract 338,G5020,S,1400220,0,+40.0626481,-075.0736440,10650
123,42,101,033900,42101033900,339,Census Tract 339,G5020,S,1141156,0,+40.0685560,-075.0873418,10651
124,42,101,034000,42101034000,340,Census Tract 340,G5020,S,763893,729,+40.0711759,-075.0735007,10652
125,42,101,034100,42101034100,341,Census Tract 341,G5020,S,1333267,0,+40.0763415,-075.0806938,10653
126,42,101,034200,42101034200,342,Census Tract 342,G5020,S,1000768,0,+40.0825947,-075.0721585,10654
127,42,101,980200,42101980200,9802,Census Tract 9802,G5020,S,5200674,250845,+40.0714709,-075.0443910,10710
128,42,101,034400,42101034400,344,Census Tract 344,G5020,S,3399171,13905,+40.0943325,-075.0564419,10655
129,42,101,034600,42101034600,346,Census Tract 346,G5020,S,1853669,5746,+40.0708314,-075.0207264,10658
130,42,101,006400,42101006400,64,Census Tract 64,G5020,S,645368,16097,+39.9251805,-075.2428396,10397
131,42,101,006500,42101006500,65,Census Tract 65,G5020,S,1111283,29425,+39.9330955,-075.2318406,10398
132,42,101,006600,42101006600,66,Census Tract 66,G5020,S,651244,0,+39.9293155,-075.2298425,10399
133,42,101,036301,42101036301,363.01,Census Tract 363.01,G5020,S,2322732,66075,+40.0895349,-074.9667387,10681
134,42,101,036400,42101036400,364,Census Tract 364,G5020,S,4501110,8014,+40.1127747,-074.9789137,10684
135,42,101,036600,42101036600,366,Census Tract 366,G5020,S,1004313,1426278,+39.9470272,-075.1404472,10687
136,42,101,034803,42101034803,348.03,Census Tract 348.03,G5020,S,1271533,8021,+40.0619427,-075.0023705,10663
137,42,101,034702,42101034702,347.02,Census Tract 347.02,G5020,S,1016206,0,+40.0570427,-075.0283288,10660
138,42,101,036202,42101036202,362.02,Census Tract 362.02,G5020,S,1116115,2329,+40.0838623,-074.9781805,10679
139,42,101,003800,42101003800,38,Census Tract 38,G5020,S,1089154,0,+39.9184658,-075.1831323,10380
140,42,101,008302,42101008302,83.02,Census Tract 83.02,G5020,S,425234,0,+39.9566981,-075.2414378,10416
141,42,101,017602,42101017602,176.02,Census Tract 176.02,G5020,S,400458,0,+39.9967182,-075.1305528,10507
142,42,101,001002,42101001002,10.02,Census Tract 10.02,G5020,S,471662,0,+39.9450045,-075.1466193,10349
143,42,101,001001,42101001001,10.01,Census Tract 10.01,G5020,S,229399,0,+39.9456722,-075.1516020,10348
144,42,101,000402,42101000402,4.02,Census Tract 4.02,G5020,S,303680,0,+39.9532973,-075.1686952,10339
145,42,101,000401,42101000401,4.01,Census Tract 4.01,G5020,S,214766,14981,+39.9541871,-075.1758082,10338
146,42,101,012204,42101012204,122.04,Census Tract 122.04,G5020,S,849290,56473,+40.0009407,-075.2120769,10457
147,42,101,012203,42101012203,122.03,Census Tract 122.03,G5020,S,226108,0,+40.0074668,-075.2093526,10456
148,42,101,013602,42101013602,136.02,Census Tract 136.02,G5020,S,234732,0,+39.9715714,-075.1798097,10466
149,42,101,034501,42101034501,345.01,Census Tract 345.01,G5020,S,447469,0,+40.0749091,-075.0392089,10656
150,42,101,034502,42101034502,345.02,Census Tract 345.02,G5020,S,1009269,0,+40.0814446,-075.0383811,10657
151,42,101,001102,42101001102,11.02,Census Tract 11.02,G5020,S,204062,0,+39.9442654,-075.1566960,10351
152,42,101,000902,42101000902,9.02,Census Tract 9.02,G5020,S,155164,0,+39.9471596,-075.1566389,10347
153,42,101,000901,42101000901,9.01,Census Tract 9.01,G5020,S,105510,0,+39.9478866,-075.1623004,10346
154,42,101,017201,42101017201,172.01,Census Tract 172.01,G5020,S,262958,0,+39.9993972,-075.1686145,10501
155,42,101,017202,42101017202,172.02,Census Tract 172.02,G5020,S,290610,0,+39.9986670,-075.1742061,10502
156,42,101,027401,42101027401,274.01,Census Tract 274.01,G5020,S,326659,0,+40.0386049,-075.1286496,10586
157,42,101,020101,42101020101,201.01,Census Tract 201.01,G5020,S,483577,0,+40.0036824,-075.1553072,10526
158,42,101,020102,42101020102,201.02,Census Tract 201.02,G5020,S,373125,0,+40.0111415,-075.1545676,10527
159,42,101,031101,42101031101,311.01,Census Tract 311.01,G5020,S,349649,0,+40.0422496,-075.0785449,10622
160,42,101,031102,42101031102,311.02,Census Tract 311.02,G5020,S,397973,0,+40.0370850,-075.0833729,10623
161,42,101,019502,42101019502,195.02,Census Tract 195.02,G5020,S,370302,0,+40.0034030,-075.1300445,10521
162,42,101,019501,42101019501,195.01,Census Tract 195.01,G5020,S,393883,0,+40.0004303,-075.1316227,10520
163,42,101,028901,42101028901,289.01,Census Tract 289.01,G5020,S,598655,0,+40.0171008,-075.1151820,10603
164,42,101,028902,42101028902,289.02,Census Tract 289.02,G5020,S,772294,6267,+40.0216105,-075.1116877,10604
165,42,101,033101,42101033101,331.01,Census Tract 331.01,G5020,S,486954,0,+40.0403093,-075.0379505,10641
166,42,101,033102,42101033102,331.02,Census Tract 331.02,G5020,S,718272,0,+40.0451050,-075.0272869,10642
167,42,101,031501,42101031501,315.01,Census Tract 315.01,G5020,S,587242,0,+40.0365919,-075.0481642,10628
168,42,101,030501,42101030501,305.01,Census Tract 305.01,G5020,S,377375,0,+40.0428163,-075.0994351,10615
169,42,101,030502,42101030502,305.02,Census Tract 305.02,G5020,S,699246,0,+40.0457206,-075.1046619,10616
170,42,101,009802,42101009802,98.02,Census Tract 98.02,G5020,S,611026,0,+39.9745879,-075.2679037,10433
171,42,101,018001,42101018001,180.01,Census Tract 180.01,G5020,S,387383,0,+39.9810569,-075.1128000,10512
172,42,101,017702,42101017702,177.02,Census Tract 177.02,G5020,S,489258,0,+39.9950621,-075.1231399,10509
173,42,101,017701,42101017701,177.01,Census Tract 177.01,G5020,S,241053,0,+39.9964470,-075.1167526,10508
174,42,101,035602,42101035602,356.02,Census Tract 356.02,G5020,S,1394868,1863,+40.1079419,-075.0480601,10671
175,42,101,035701,42101035701,357.01,Census Tract 357.01,G5020,S,598625,718,+40.1095846,-075.0286811,10672
176,42,101,035702,42101035702,357.02,Census Tract 357.02,G5020,S,1559149,0,+40.1130914,-075.0374316,10673
177,42,101,035601,42101035601,356.01,Census Tract 356.01,G5020,S,2029707,12498,+40.0973908,-075.0388184,10670
178,42,101,015101,42101015101,151.01,Census Tract 151.01,G5020,S,193072,0,+39.9869632,-075.1857502,10480
179,42,101,015102,42101015102,151.02,Census Tract 151.02,G5020,S,556570,0,+39.9861430,-075.1794280,10481
180,42,101,036501,42101036501,365.01,Census Tract 365.01,G5020,S,1816093,7168,+40.1290877,-075.0120077,10685
181,42,101,980400,42101980400,9804,Census Tract 9804,G5020,S,2923998,51364,+39.8798897,-075.2337414,10712
182,42,101,013402,42101013402,134.02,Census Tract 134.02,G5020,S,238612,0,+39.9653623,-075.1690326,10463
183,42,101,013401,42101013401,134.01,Census Tract 134.01,G5020,S,164058,0,+39.9659574,-075.1752507,10462
184,42,101,013601,42101013601,136.01,Census Tract 136.01,G5020,S,167625,0,+39.9689697,-075.1785774,10465
185,42,101,037900,42101037900,379,Census Tract 379,G5020,S,1374524,0,+39.9910899,-075.0927158,10696
186,42,101,038200,42101038200,382,Census Tract 382,G5020,S,1828671,25840,+39.9963741,-075.0973643,10699
187,42,101,038000,42101038000,380,Census Tract 380,G5020,S,874602,0,+40.0052279,-075.0807845,10697
188,42,101,038100,42101038100,381,Census Tract 381,G5020,S,3335029,1629584,+40.0189334,-075.0399564,10698
189,42,101,038400,42101038400,384,Census Tract 384,G5020,S,2546785,0,+40.0714163,-075.2332568,10701
190,42,101,000100,42101000100,1,Census Tract 1,G5020,S,704909,0,+39.9523827,-075.1466628,10335
191,42,101,000200,42101000200,2,Census Tract 2,G5020,S,382478,0,+39.9553999,-075.1569775,10336
192,42,101,000300,42101000300,3,Census Tract 3,G5020,S,548342,356,+39.9568780,-075.1716655,10337
